run_id,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260209_060420,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_061634,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_062506,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260209_063410,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260209_063933,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260209_064936,opponent,2.0,-0.0,-2.0,1,0,0,5
run_20260209_065814,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260209_070914,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_072058,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_073159,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260209_074049,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260209_075053,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_075942,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260209_080440,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_081023,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_081515,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_081542,opponent,-1.0,1.0,2.0,-1,1,1,3
run_20260209_082234,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260209_082709,opponent,-1.0,-0.0,1.0,-1,0,0,5
run_20260209_083248,opponent,1.0,1.0,0.0,1,1,0,5
run_20260209_083739,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_084651,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260209_085513,opponent,-0.0,-0.0,0.0,0,0,0,4
