run_id,model_name,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260208_162210,dolphin-yi-34b,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_162210,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_162210,gemma3:27b,moderator,3.0,0.0,-3.0,1,0,0,5
run_20260208_162821,dolphin-yi-34b,opponent,1.0,1.0,0.0,1,1,0,3
run_20260208_162821,dolphin-yi-34b,proponent,0.0,-1.0,-1.0,0,-1,0,3
run_20260208_162821,gemma3:27b,moderator,-4.0,0.0,4.0,-1,0,0,3
run_20260208_163016,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,1
run_20260208_163016,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,1
run_20260208_163016,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_163212,dolphin-yi-34b,opponent,1.0,1.0,0.0,1,1,0,1
run_20260208_163212,dolphin-yi-34b,proponent,1.0,1.0,0.0,1,1,0,1
run_20260208_163212,gemma3:27b,moderator,-1.0,-1.0,0.0,-1,-1,0,1
run_20260208_164112,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_164112,dolphin-yi-34b,proponent,1.0,0.0,-1.0,1,0,0,4
run_20260208_164112,gemma3:27b,moderator,2.0,1.0,-1.0,1,1,0,4
run_20260208_164615,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_164615,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_164615,gemma3:27b,moderator,-1.0,-1.0,0.0,-1,-1,0,3
run_20260208_165632,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_165632,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_165632,gemma3:27b,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_170602,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_170602,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_170602,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_171702,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_171702,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_171702,gemma3:27b,moderator,1.0,2.0,1.0,1,1,0,5
run_20260208_174705,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_174705,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
