debate_role,stage,metric,mean,ci_low,ci_high,n
proponent,middle,stance_proxy_score,0.034782608695652174,-0.008695652173913044,0.0782608695652174,115
proponent,middle,assertiveness_balance,-0.0032869340251048353,-0.006136784809147689,-0.0010787839163125198,115
proponent,middle,modality_balance,0.0,0.0,0.0,115
proponent,middle,lexical_overlap_prev_other_turn,0.1003831400406478,0.09245219953295206,0.10900815884887224,115
proponent,middle,semantic_similarity_prev_other_turn,0.6090955405756099,0.5913142732270806,0.6279710644398594,115
proponent,middle,lexical_overlap_prev_opponent_turn,0.17675961155984268,0.15166750408865304,0.19902354958779084,115
proponent,middle,semantic_similarity_prev_opponent_turn,0.6717814831797819,0.643877680051185,0.6991103328568169,115
proponent,middle,novelty_vs_prev_turn_lexical,0.899616859959352,0.8912517183976528,0.9074466173027549,115
proponent,middle,novelty_vs_prev_turn_semantic,0.3909044594243901,0.3738598440157373,0.4080056992641087,115
proponent,middle,novelty_vs_prev_opponent_turn_lexical,0.8232403884401572,0.7988023958491661,0.8453012695335272,115
proponent,middle,novelty_vs_prev_opponent_turn_semantic,0.328218516820218,0.30209838434033637,0.3526635541378949,115
proponent,opening,confidence,55.75,54.9,56.614285714285714,140
proponent,opening,confidence_delta_within_role,-1.2666666666666666,-2.6333333333333333,0.18333333333333332,60
proponent,opening,word_count,18.742857142857144,17.992857142857144,19.578928571428573,140
proponent,opening,avg_sentence_length,18.0,17.317857142857143,18.614285714285714,140
proponent,opening,lemma_type_token_ratio,0.9958692002442002,0.9924010035103786,0.9987103174603176,140
proponent,opening,vader_compound,0.07135000000000001,-0.0037114642857142832,0.14897225,140
proponent,opening,evidence_density_per_1k_words,13.844758251306498,8.426854538882333,19.641028294972678,140
proponent,opening,rebuttal_density_per_1k_words,1.2529861442904922,0.2747252747252747,2.5636645962732914,140
proponent,opening,hedge_density_per_1k_words,0.0,0.0,0.0,140
proponent,opening,assertive_density_per_1k_words,0.0,0.0,0.0,140
proponent,opening,strong_modal_density_per_1k_words,0.0,0.0,0.0,140
proponent,opening,weak_modal_density_per_1k_words,0.0,0.0,0.0,140
proponent,opening,moral_density_per_1k_words,9.336936609432993,8.864880510924467,9.84301729269323,140
proponent,opening,stance_proxy_score,0.02857142857142857,-0.02142857142857143,0.07857142857142857,140
proponent,opening,assertiveness_balance,0.0,0.0,0.0,140
proponent,opening,modality_balance,0.0,0.0,0.0,140
proponent,opening,lexical_overlap_prev_other_turn,0.03646416191413025,0.028123129025826376,0.0452113133597245,140
proponent,opening,semantic_similarity_prev_other_turn,0.5975367816835669,0.5716574125216962,0.621901948177105,60
proponent,opening,lexical_overlap_prev_opponent_turn,0.06469028967263812,0.0486444262298675,0.081048337845056,140
proponent,opening,semantic_similarity_prev_opponent_turn,0.6569538875483535,0.6295363006222685,0.6826666959032939,60
proponent,opening,novelty_vs_prev_turn_lexical,0.9635358380858696,0.9554537675420984,0.9719191735379306,140
proponent,opening,novelty_vs_prev_turn_semantic,0.402463218316433,0.37783577775491445,0.4245004175218004,60
proponent,opening,novelty_vs_prev_opponent_turn_lexical,0.9353097103273618,0.9207861920472007,0.9511286906813381,140
proponent,opening,novelty_vs_prev_opponent_turn_semantic,0.3430461124516462,0.3149896957394827,0.3707828608383727,60
